Treatment,Nest,MeanTempTSP,Date,MinTempTSP,MaxTempTSP
B,B8,31.01425,7/12/17,30.255,32.807
B,B8,31.00558333,7/13/17,30.255,32.807
B,B8,30.98033333,7/14/17,30.255,32.807
B,B8,31.32833333,7/15/17,30.255,32.807
B,B8,32.51441667,7/16/17,30.255,32.807
B,B8,32.19725,7/17/17,30.255,32.807
B,B8,31.03116667,7/18/17,30.255,32.807
B,B8,31.16641667,7/19/17,30.255,32.807
B,B8,31.19191667,7/20/17,30.255,32.807
B,B8,31.37,7/21/17,30.255,32.807
B,B8,31.54875,7/22/17,30.255,32.807
B,B8,32.18841667,7/23/17,30.255,32.807
B,B10,30.89566667,7/8/17,30.558,33.014
B,B10,31.62525,7/9/17,30.558,33.014
B,B10,32.35108333,7/10/17,30.558,33.014
B,B10,31.685,7/11/17,30.558,33.014
B,B10,31.27675,7/12/17,30.558,33.014
B,B10,31.2595,7/13/17,30.558,33.014
B,B10,31.25133333,7/14/17,30.558,33.014
B,B10,31.56566667,7/15/17,30.558,33.014
B,B10,32.69516667,7/16/17,30.558,33.014
B,B10,32.56625,7/17/17,30.558,33.014
B,B10,31.48075,7/18/17,30.558,33.014
B,B10,31.404,7/19/17,30.558,33.014
B,B10,31.4805,7/20/17,30.558,33.014
B,B10,31.71875,7/21/17,30.558,33.014
B,B10,31.89791667,7/22/17,30.558,33.014
B,B10,32.61758333,7/23/17,30.558,33.014
C,C1,31.115,7/8/17,31.064,32.704
C,C1,31.234,7/9/17,31.064,32.704
C,C1,31.6675,7/10/17,31.064,32.704
C,C1,31.812,7/11/17,31.064,32.704
C,C1,31.6675,7/12/17,31.064,32.704
C,C1,31.574,7/13/17,31.064,32.704
C,C1,31.642,7/14/17,31.064,32.704
C,C1,31.7695,7/15/17,31.064,32.704
C,C1,32.17125,7/16/17,31.064,32.704
C,C1,32.57425,7/17/17,31.064,32.704
C,C1,32.394,7/18/17,31.064,32.704
C,C1,32.1625,7/19/17,31.064,32.704
C,C1,32.188,7/20/17,31.064,32.704
C,C1,32.26525,7/21/17,31.064,32.704
C,C1,32.38541667,7/22/17,31.064,32.704
C,C1,32.59158333,7/23/17,31.064,32.704
C,C3,30.41491667,7/8/17,30.356,31.574
C,C3,30.49908333,7/9/17,30.356,31.574
C,C3,30.90383333,7/10/17,30.356,31.574
C,C3,30.99666667,7/11/17,30.356,31.574
C,C3,30.828,7/12/17,30.356,31.574
C,C3,30.68425,7/13/17,30.356,31.574
C,C3,30.63375,7/14/17,30.356,31.574
C,C3,30.72633333,7/15/17,30.356,31.574
C,C3,31.06458333,7/16/17,30.356,31.574
C,C3,31.455,7/17/17,30.356,31.574
C,C3,31.251,7/18/17,30.356,31.574
C,C3,31.0135,7/19/17,30.356,31.574
C,C3,31.04716667,7/20/17,30.356,31.574
C,C3,31.0725,7/21/17,30.356,31.574
C,C3,31.251,7/22/17,30.356,31.574
C,C3,31.4635,7/23/17,30.356,31.574
C,C5,30.70116667,7/9/17,30.558,31.88
C,C5,31.10683333,7/10/17,30.558,31.88
C,C5,31.2255,7/11/17,30.558,31.88
C,C5,31.02191667,7/12/17,30.558,31.88
C,C5,30.8535,7/13/17,30.558,31.88
C,C5,30.8365,7/14/17,30.558,31.88
C,C5,30.845,7/15/17,30.558,31.88
C,C5,31.24266667,7/16/17,30.558,31.88
C,C5,31.6165,7/17/17,30.558,31.88
C,C5,31.4465,7/18/17,30.558,31.88
C,C5,31.166,7/19/17,30.558,31.88
C,C5,31.166,7/20/17,30.558,31.88
C,C5,31.234,7/21/17,30.558,31.88
C,C5,31.3955,7/22/17,30.558,31.88
C,C5,31.6505,7/23/17,30.558,31.88
C,C5,31.8545,7/24/17,30.558,31.88
C,C5,31.88,7/25/17,30.558,31.88
C,C7,30.63375,7/8/17,30.558,32.086
C,C7,30.752,7/9/17,30.558,32.086
C,C7,31.19166667,7/10/17,30.558,32.086
C,C7,31.2935,7/11/17,30.558,32.086
C,C7,31.10666667,7/12/17,30.558,32.086
C,C7,30.963,7/13/17,30.558,32.086
C,C7,30.93775,7/14/17,30.558,32.086
C,C7,31.02191667,7/15/17,30.558,32.086
C,C7,31.4125,7/16/17,30.558,32.086
C,C7,31.8035,7/17/17,30.558,32.086
C,C7,31.608,7/18/17,30.558,32.086
C,C7,31.3445,7/19/17,30.558,32.086
C,C7,31.3615,7/20/17,30.558,32.086
C,C7,31.4635,7/21/17,30.558,32.086
C,C7,31.659,7/22/17,30.558,32.086
C,C7,31.92325,7/23/17,30.558,32.086
C,C9,30.72633333,7/8/17,30.659,32.291
C,C9,30.81108333,7/9/17,30.659,32.291
C,C9,31.25108333,7/10/17,30.659,32.291
C,C9,31.404,7/11/17,30.659,32.291
C,C9,31.2085,7/12/17,30.659,32.291
C,C9,31.064,7/13/17,30.659,32.291
C,C9,31.08108333,7/14/17,30.659,32.291
C,C9,31.1405,7/15/17,30.659,32.291
C,C9,31.5315,7/16/17,30.659,32.291
C,C9,31.91441667,7/17/17,30.659,32.291
C,C9,31.727,7/18/17,30.659,32.291
C,C9,31.472,7/19/17,30.659,32.291
C,C9,31.489,7/20/17,30.659,32.291
C,C9,31.642,7/21/17,30.659,32.291
C,C9,31.8545,7/22/17,30.659,32.291
C,C9,32.13691667,7/23/17,30.659,32.291
D,D2,30.78608333,7/8/17,30.356,33.014
D,D2,31.719,7/9/17,30.356,33.014
D,D2,32.4285,7/10/17,30.356,33.014
D,D2,31.42116667,7/11/17,30.356,33.014
D,D2,31.15825,7/12/17,30.356,33.014
D,D2,31.141,7/13/17,30.356,33.014
D,D2,31.10733333,7/14/17,30.356,33.014
D,D2,31.50633333,7/15/17,30.356,33.014
D,D2,32.69516667,7/16/17,30.356,33.014
D,D2,32.446,7/17/17,30.356,33.014
D,D2,31.29383333,7/18/17,30.356,33.014
D,D2,31.4295,7/19/17,30.356,33.014
D,D2,31.574,7/20/17,30.356,33.014
D,D2,31.7955,7/21/17,30.356,33.014
D,D2,32.06041667,7/22/17,30.356,33.014
D,D2,32.69516667,7/23/17,30.356,33.014
D,D4,31.33633333,7/9/17,30.457,32.497
D,D4,32.07708333,7/10/17,30.457,32.497
D,D4,31.2345,7/11/17,30.457,32.497
D,D4,30.955,7/12/17,30.457,32.497
D,D4,30.83641667,7/13/17,30.457,32.497
D,D4,30.79416667,7/14/17,30.457,32.497
D,D4,31.08166667,7/15/17,30.457,32.497
D,D4,32.16275,7/16/17,30.457,32.497
D,D4,32.06866667,7/17/17,30.457,32.497
D,D4,31.031,7/18/17,30.457,32.497
D,D4,31.14083333,7/19/17,30.457,32.497
D,D4,31.3275,7/20/17,30.457,32.497
D,D4,31.55708333,7/21/17,30.457,32.497
D,D4,31.77841667,7/22/17,30.457,32.497
D,D4,32.31691667,7/23/17,30.457,32.497
D,D4,32.16266667,7/24/17,30.457,32.497
D,D4,32.00033333,7/25/17,30.457,32.497
D,D6,30.42366667,7/8/17,30.054,32.497
D,D6,31.20025,7/9/17,30.054,32.497
D,D6,31.90616667,7/10/17,30.054,32.497
D,D6,31.18366667,7/11/17,30.054,32.497
D,D6,30.85341667,7/12/17,30.054,32.497
D,D6,30.77733333,7/13/17,30.054,32.497
D,D6,30.72675,7/14/17,30.054,32.497
D,D6,31.014,7/15/17,30.054,32.497
D,D6,32.16275,7/16/17,30.054,32.497
D,D6,32.00033333,7/17/17,30.054,32.497
D,D6,31.0225,7/18/17,30.054,32.497
D,D6,31.09,7/19/17,30.054,32.497
D,D6,31.2765,7/20/17,30.054,32.497
D,D6,31.5145,7/21/17,30.054,32.497
D,D6,31.72741667,7/22/17,30.054,32.497
D,D6,32.29975,7/23/17,30.054,32.497
D,D8,30.449,7/8/17,30.054,32.497
D,D8,31.24308333,7/9/17,30.054,32.497
D,D8,31.87208333,7/10/17,30.054,32.497
D,D8,31.1835,7/11/17,30.054,32.497
D,D8,30.8365,7/12/17,30.054,32.497
D,D8,30.76883333,7/13/17,30.054,32.497
D,D8,30.72683333,7/14/17,30.054,32.497
D,D8,31.09925,7/15/17,30.054,32.497
D,D8,32.23975,7/16/17,30.054,32.497
D,D8,31.90641667,7/17/17,30.054,32.497
D,D8,30.91241667,7/18/17,30.054,32.497
D,D8,31.01383333,7/19/17,30.054,32.497
D,D8,31.17483333,7/20/17,30.054,32.497
D,D8,31.4635,7/21/17,30.054,32.497
D,D8,31.64241667,7/22/17,30.054,32.497
D,D8,32.22266667,7/23/17,30.054,32.497
D,D10,30.66791667,7/8/17,30.255,32.497
D,D10,31.40416667,7/9/17,30.255,32.497
D,D10,32.04283333,7/10/17,30.255,32.497
D,D10,31.37008333,7/11/17,30.255,32.497
D,D10,30.98866667,7/12/17,30.255,32.497
D,D10,30.99683333,7/13/17,30.255,32.497
D,D10,30.91258333,7/14/17,30.255,32.497
D,D10,31.18375,7/15/17,30.255,32.497
D,D10,32.24833333,7/16/17,30.255,32.497
D,D10,31.90633333,7/17/17,30.255,32.497
D,D10,30.96333333,7/18/17,30.255,32.497
D,D10,30.90383333,7/19/17,30.255,32.497
D,D10,31.02225,7/20/17,30.255,32.497
D,D10,31.24266667,7/21/17,30.255,32.497
D,D10,31.33616667,7/22/17,30.255,32.497
D,D10,31.83783333,7/23/17,30.255,32.497
E,E1,31.4975,7/8/17,31.37,33.326
E,E1,31.6675,7/9/17,31.37,33.326
E,E1,32.13691667,7/10/17,31.37,33.326
E,E1,32.32533333,7/11/17,31.37,33.326
E,E1,32.12833333,7/12/17,31.37,33.326
E,E1,31.983,7/13/17,31.37,33.326
E,E1,31.99158333,7/14/17,31.37,33.326
E,E1,32.06025,7/15/17,31.37,33.326
E,E1,32.45433333,7/16/17,31.37,33.326
E,E1,32.85908333,7/17/17,31.37,33.326
E,E1,32.62625,7/18/17,31.37,33.326
E,E1,32.394,7/19/17,31.37,33.326
E,E1,32.47983333,7/20/17,31.37,33.326
E,E1,32.59158333,7/21/17,31.37,33.326
E,E1,32.83308333,7/22/17,31.37,33.326
E,E1,33.14416667,7/23/17,31.37,33.326
E,E3,31.1235,7/8/17,31.064,32.704
